,Open,High,Low,Close,Volume
2017-11-12 00:00:00+00:00,6355.13,6488.88,5555.55,5870.37,37315.156
2017-11-13 00:00:00+00:00,5870.03,6775.75,5846.0,6525.17,27202.281
2017-11-14 00:00:00+00:00,6524.69,6750.0,6466.88,6609.0,12072.053
2017-11-15 00:00:00+00:00,6609.0,7350.0,6609.0,7294.0,16869.898
2017-11-16 00:00:00+00:00,7294.0,7976.79,7120.85,7846.96,19272.371
2017-11-17 00:00:00+00:00,7846.96,7997.0,7528.5,7674.99,17714.367
2017-11-18 00:00:00+00:00,7675.0,7858.0,7431.54,7771.03,7326.81
2017-11-19 00:00:00+00:00,7775.55,8087.35,7675.0,8016.58,8307.777
2017-11-20 00:00:00+00:00,8016.58,8269.99,7900.0,8226.17,8179.4575
2017-11-21 00:00:00+00:00,8226.14,8354.46,7770.0,8095.23,13686.512
2017-11-22 00:00:00+00:00,8095.19,8310.89,8045.76,8214.69,8078.5806
2017-11-23 00:00:00+00:00,8214.69,8279.76,7980.0,7989.0,7811.7935
2017-11-24 00:00:00+00:00,7988.96,8340.0,7876.0,8199.19,9289.989
2017-11-25 00:00:00+00:00,8199.83,8737.0,8114.78,8717.99,11611.666
2017-11-26 00:00:00+00:00,8718.0,9366.6,8538.2,9271.06,12021.216
2017-11-27 00:00:00+00:00,9278.99,9721.7,9267.0,9708.07,13272.452
2017-11-28 00:00:00+00:00,9708.06,9968.0,9582.25,9868.82,11214.93
2017-11-29 00:00:00+00:00,9877.63,11395.0,9250.0,9824.68,33432.34
2017-11-30 00:00:00+00:00,9833.7,10618.29,9000.0,9947.67,25433.459
2017-12-01 00:00:00+00:00,9927.29,10949.89,9370.11,10840.45,16708.033
2017-12-02 00:00:00+00:00,10840.45,11200.0,10637.69,10872.0,9267.161
2017-12-03 00:00:00+00:00,10875.68,11800.01,10513.16,11250.0,14238.525
2017-12-04 00:00:00+00:00,11250.0,11613.07,10850.0,11613.07,13621.482
2017-12-05 00:00:00+00:00,11613.07,11850.0,11384.25,11677.0,11875.034
2017-12-06 00:00:00+00:00,11676.99,13700.0,11659.8,13623.5,19784.873
2017-12-07 00:00:00+00:00,13623.0,16615.62,13085.9,16599.99,25787.676
2017-12-08 00:00:00+00:00,16599.99,16666.66,13482.42,15800.0,25473.395
2017-12-09 00:00:00+00:00,15799.87,15998.5,12701.05,14607.49,16587.473
2017-12-10 00:00:00+00:00,14601.01,15385.0,13011.0,14691.0,18487.982
2017-12-11 00:00:00+00:00,14690.99,17270.0,14677.19,16470.0,16583.723
2017-12-12 00:00:00+00:00,16470.0,17428.42,15967.29,16650.01,13517.893
2017-12-13 00:00:00+00:00,16650.01,17107.03,15497.69,16250.0,17136.705
2017-12-14 00:00:00+00:00,16245.02,16830.45,15852.69,16404.99,13409.524
2017-12-15 00:00:00+00:00,16404.99,17934.0,16337.19,17471.5,18998.389
2017-12-16 00:00:00+00:00,17477.98,19377.0,17269.99,19187.78,9761.221
2017-12-17 00:00:00+00:00,19187.78,19666.0,18465.0,18953.0,9749.249
2017-12-18 00:00:00+00:00,18953.0,19220.0,17835.2,18940.57,14678.941
2017-12-19 00:00:00+00:00,18940.58,19160.79,16831.26,17700.0,21528.137
2017-12-20 00:00:00+00:00,17700.0,17950.0,15343.04,16466.98,31172.229
2017-12-21 00:00:00+00:00,16466.98,17281.17,15005.0,15600.01,20377.861
2017-12-22 00:00:00+00:00,15600.0,15795.61,11159.93,14009.79,57444.887
2017-12-23 00:00:00+00:00,13980.0,15756.22,13496.48,14619.0,21786.408
2017-12-24 00:00:00+00:00,14619.0,14619.1,12488.0,14157.87,18519.49
2017-12-25 00:00:00+00:00,14107.87,14650.0,13210.0,13911.28,11564.544
2017-12-26 00:00:00+00:00,13925.5,16147.87,13746.95,15764.44,15051.164
2017-12-27 00:00:00+00:00,15764.45,16480.52,14484.0,15364.93,15643.755
2017-12-28 00:00:00+00:00,15390.05,15474.19,13500.0,14470.07,16557.217
2017-12-29 00:00:00+00:00,14436.99,15111.0,13998.0,14340.0,13505.703
2017-12-30 00:00:00+00:00,14351.0,14463.28,12050.0,12640.0,21749.674
2017-12-31 00:00:00+00:00,12640.0,14296.06,12491.21,13880.0,11583.419
2018-01-01 00:00:00+00:00,13880.0,13941.75,12801.38,13443.41,7688.031
2018-01-02 00:00:00+00:00,13394.2,15257.53,12910.58,14678.94,16299.669
2018-01-03 00:00:00+00:00,14670.96,15500.0,14546.28,15155.62,12275.001
2018-01-04 00:00:00+00:00,15155.62,15430.27,14192.37,15143.67,15004.019
2018-01-05 00:00:00+00:00,15143.67,17200.0,14810.0,16928.0,16248.915
2018-01-06 00:00:00+00:00,16927.99,17234.99,16220.0,17149.67,9501.017
2018-01-07 00:00:00+00:00,17142.43,17149.97,15707.16,16124.02,8632.813
2018-01-08 00:00:00+00:00,16173.98,16300.0,13900.0,14999.99,16676.35
2018-01-09 00:00:00+00:00,14999.99,15367.18,14123.97,14403.51,13913.524
2018-01-10 00:00:00+00:00,14403.51,14900.0,13412.0,14890.02,18479.012
2018-01-11 00:00:00+00:00,14899.99,14973.07,12800.0,13243.83,19630.074
2018-01-12 00:00:00+00:00,13249.99,14152.19,12807.27,13781.41,13433.085
2018-01-13 00:00:00+00:00,13829.28,14619.1,13789.42,14197.78,7488.987
2018-01-14 00:00:00+00:00,14197.78,14365.81,13072.22,13647.99,7588.6357
2018-01-15 00:00:00+00:00,13647.99,14394.36,13429.25,13607.04,9444.636
2018-01-16 00:00:00+00:00,13581.66,13607.04,10162.0,11386.34,38789.883
2018-01-17 00:00:00+00:00,11393.97,11794.07,9222.0,11191.35,41356.19
2018-01-18 00:00:00+00:00,11199.0,12146.0,10693.0,11247.57,22195.262
2018-01-19 00:00:00+00:00,11290.9,12050.39,11025.18,11552.0,13203.256
2018-01-20 00:00:00+00:00,11560.82,13052.12,11515.94,12775.99,10324.058
2018-01-21 00:00:00+00:00,12782.99,12791.88,11100.0,11558.87,11596.441
2018-01-22 00:00:00+00:00,11558.87,11910.78,10028.41,10808.99,17067.729
2018-01-23 00:00:00+00:00,10810.0,11409.87,9927.54,10851.82,17250.176
2018-01-24 00:00:00+00:00,10848.99,11500.0,10488.13,11400.96,11646.791
2018-01-25 00:00:00+00:00,11400.98,11741.82,10868.57,11155.54,10212.922
2018-01-26 00:00:00+00:00,11140.01,11635.0,10263.32,11092.95,15074.666
2018-01-27 00:00:00+00:00,11093.74,11630.47,10815.84,11446.54,10309.808
2018-01-28 00:00:00+00:00,11446.54,11989.15,11360.52,11685.58,9956.093
2018-01-29 00:00:00+00:00,11685.58,11820.01,10991.0,11162.62,9996.356
2018-01-30 00:00:00+00:00,11162.62,11222.36,9731.2,9971.0,21082.193
2018-01-31 00:00:00+00:00,9971.0,10324.0,9514.96,10149.0,12743.51
2018-02-01 00:00:00+00:00,10148.99,10187.56,8455.0,8998.99,26356.588
2018-02-02 00:00:00+00:00,9010.87,9096.79,7625.25,8838.83,44406.02
2018-02-03 00:00:00+00:00,8838.29,9491.2,8170.71,9225.86,16208.374
2018-02-04 00:00:00+00:00,9225.31,9350.09,7825.0,8191.0,19110.672
2018-02-05 00:00:00+00:00,8190.78,8335.56,6600.0,6874.27,46544.43
2018-02-06 00:00:00+00:00,6878.65,8150.0,5920.72,7737.37,70961.37
2018-02-07 00:00:00+00:00,7737.26,8649.0,7213.8,7588.01,32640.893
2018-02-08 00:00:00+00:00,7588.01,8644.36,7565.5,8259.76,22746.39
2018-02-09 00:00:00+00:00,8259.42,8779.62,7753.32,8693.98,18418.117
2018-02-10 00:00:00+00:00,8693.98,9090.8,8170.86,8560.0,14670.559
2018-02-11 00:00:00+00:00,8560.0,8560.0,7820.0,8067.0,12711.786
2018-02-12 00:00:00+00:00,8077.25,8995.0,8067.0,8899.0,15071.04
2018-02-13 00:00:00+00:00,8891.2,8951.89,8360.13,8522.99,11374.524
2018-02-14 00:00:00+00:00,8504.57,9515.0,8504.57,9490.98,17468.738
2018-02-15 00:00:00+00:00,9490.98,10234.0,9350.0,10018.0,21036.338
2018-02-16 00:00:00+00:00,10011.3,10300.0,9707.51,10196.0,11857.643
2018-02-17 00:00:00+00:00,10203.14,11135.83,10053.5,11101.0,14511.169
2018-02-18 00:00:00+00:00,11101.0,11300.0,10153.15,10421.06,17623.08
2018-02-19 00:00:00+00:00,10433.68,11262.48,10307.51,11173.0,11698.256
2018-02-20 00:00:00+00:00,11159.12,11780.0,11080.37,11233.41,15880.909
2018-02-21 00:00:00+00:00,11233.42,11275.74,10256.0,10449.4,19959.678
2018-02-22 00:00:00+00:00,10446.79,10935.0,9731.2,9843.34,20204.691
2018-02-23 00:00:00+00:00,9843.33,10405.3,9600.0,10166.1,16044.039
